X;Y
1990;458007.407727686
1991;449699.173210644
1992;463521.03749534
1993;463993.303356412
1994;478267.070511384
1995;490951.380162472
1996;506999.620254606
1997;521278.446422255
1998;528987.103878768
1999;543729.998534308
2000;566552.294041006
2001;559042.164780204
2002;564669.17361946
2003;582343.585599117
2004;580758.768716514
2005;575852.410824041
2006;571409.763408417
2007;594665.366373437
2008;579367.139302809
2009;546610.440862221
2010;558804.007434665
2011;569870.197812551
2012;569262.731407013
2013;573698.736563139
2014;570563.416549624
2015;573061.375919711
2016;559566.962305903
2017;569360.436206197
2018;579470.372060612
2019;582389.608113422
---EOD---
